,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulated
GJA1,5479.32403998579,2.07576130630414,0.459628933925597,4.51616761498344,6.29688293074823e-06,0.00471619040171568,up
HAPLN1,126.513522732102,5.39296290313623,1.04202573472789,5.17546037818783,2.27349676212056e-07,0.000656674517710175,up
IL37,56.6690323044892,3.37003182631639,0.91575540464928,3.68005671515208,0.000233182085685224,0.0337033911202302,up
KLK5,177.181799118839,3.40610593655605,0.939127388500971,3.62688382669028,0.000286862278621726,0.0363129935139793,up
KRT14,3220.92075385553,6.08930762904271,1.18022034524511,5.15946675006529,2.47654199587989e-07,0.000656674517710175,up
KRT81,309.000738561696,4.90336435365168,0.794384012541696,6.17253655189129,6.72029848625121e-10,9.05997040423956e-06,up
L1CAM,521.838590424391,3.10128663647457,0.863978347401379,3.5895420826256,0.000331259353149595,0.0402330898151915,up
LASTR,28.2090833518911,2.86367970991997,0.754962536550598,3.79314147560757,0.000148753347769349,0.0284456490489713,up
LINC02677,28.2090833518911,2.86367970991997,0.754962536550598,3.79314147560757,0.000148753347769349,0.0284456490489713,up
LRIG3,1752.59292791062,2.09355790457886,0.47345565545047,4.42186692772091,9.78517181788843e-06,0.00599630881194831,up
MAGEA9,78.8013885825782,19.9499556696161,3.34953443288801,5.95603838961436,2.5842565039127e-09,2.32264360383327e-05,up
MMP11,7748.9313302397,3.04882269136416,0.756465229547335,4.0303540364817,5.56929046283844e-05,0.0170166544544601,up
NECTIN3,355.117038420111,2.02360134005068,0.542258002968792,3.73180539332148,0.000190112349256588,0.0312560931280816,up
NETO1,101.698866264976,3.59985002540665,0.856792377679162,4.20154300993871,2.65101867663907e-05,0.0116147018970231,up
NT5E,2318.04852473564,2.21636268024499,0.628589126789823,3.52593225970016,0.00042199489287652,0.0455129931865185,up
NTS,964.016862633358,4.53168061540892,1.14672568087433,3.95184366321481,7.7551400501993e-05,0.0205001805072082,up
PCDHA6,30.821822473349,1.66832741013223,0.432846042655623,3.85432057989165,0.000116051451896314,0.0248321241215599,up
PCDHA8,10.159867308483,2.13719775851484,0.560299534094558,3.81438432207255,0.000136522867034082,0.0268070759022652,up
PCDHB10,116.55236186012,1.27878810033059,0.363708505737687,3.51596973993474,0.000438150919002103,0.046147903238491,up
PCDHB9,119.514353497939,2.01770501272397,0.539402685441662,3.74062841580381,0.00018356073102293,0.0309334249410705,up
PCDHGA1,56.4494089317975,2.01074203563254,0.54591958623118,3.68322017811073,0.000230306070741147,0.0337033911202302,up
PCDHGA8,22.3610105329126,1.98048945644904,0.436995785445793,4.53205619461222,5.84123050631076e-06,0.00459654345054581,up
PCDHGB2,232.548132005158,2.14060655232196,0.553317609979562,3.8686759895479,0.000109427940042863,0.0245238118893958,up
PCDHGB3,53.3145465562838,1.72970789695261,0.451452013051356,3.83143246003388,0.00012739934885361,0.0262218980392357,up
PCDHGC5,48.9196230526556,2.76880781089453,0.576097850497661,4.80614154089049,1.53870983556446e-06,0.00197563015696784,up
PDGFA.DT,53.8137447161915,1.70315578480992,0.454367695622835,3.74840861535124,0.000177960155872967,0.0307686088291609,up
PRSS27,113.471757447223,1.36881176054773,0.377856357702748,3.62257173299845,0.000291688535304904,0.0367513924178791,up
PSMG3.AS1,339.209899513101,1.48147972603697,0.391553197645242,3.78359756719246,0.000154577688840598,0.0285471111247195,up
PTPN13,2029.49065578402,1.59925113025919,0.393579944166267,4.0633450813835,4.83744321820634e-05,0.0159063392064021,up
PXDN,4498.65005879945,1.47615169670036,0.419639887057969,3.51766298253828,0.000435364904680405,0.046147903238491,up
SERPINB2,163.292061088526,3.6096919348725,0.944962988879948,3.81992943358663,0.000133489859450466,0.0268070759022652,up
SMIM10L2A,330.303611341504,1.7226899710955,0.472815413010314,3.64347253429727,0.000268984366879396,0.0358497845213988,up
SPRR3,333.89312477654,5.0705950682979,1.27219715494825,3.98569911005984,6.72817292991112e-05,0.0184014116274019,up
TFPI2,1522.37369317444,2.7737650078691,0.713015776681864,3.89018742443157,0.000100166826763624,0.0236307641348634,up
TMEM88B,128.800661346282,2.05897780610821,0.492762999860278,4.17843427102284,2.93522796739859e-05,0.0118123211470102,up
TMPRSS11D,46.5947743657549,4.60836069977678,1.1925761058673,3.86420680164924,0.000111450770438484,0.0246315337978102,up
TMSB15A,18.3455875709773,2.05044225066308,0.531554327248844,3.85744625817557,0.000114577860701055,0.0248321241215599,up
TRAM1L1,59.6420079269869,1.51316628984991,0.387522553987562,3.90471799455181,9.43353244085546e-05,0.0233354435965859,up
ZNF322,1647.04125030667,1.81128324146364,0.421921600988794,4.29293792310896,1.7632431659864e-05,0.00848970097937343,up
ACSBG1,60.4101395655237,-2.65508780212795,0.630702871527112,-4.20972841886581,2.5567783687524e-05,0.0116147018970231,down
ADA,560.424714925062,-1.3944818602212,0.389704097485832,-3.57830946407203,0.0003458238396728,0.0414369353834856,down
AKAP14,31.2097839225314,-4.86988521471917,1.18503430214345,-4.10948881894027,3.9653591260552e-05,0.0137984838199429,down
ALOX15,349.463218791971,-4.9254065424848,0.925231218580806,-5.32343315224468,1.01826883688708e-07,0.000392222609271234,down
AMPD1,31.8932603954187,-3.09880996829332,0.881646316253159,-3.51479942825908,0.000440086234362694,0.0461713818565032,down
ANKRD44.AS1,37.2043834296089,-3.50005716043688,0.998390294146463,-3.50570030674139,0.00045540768409127,0.0467522679749559,down
ANKRD66,60.8639536855562,-4.72250858177969,1.26542986308789,-3.73194020430012,0.000190010611317562,0.0312560931280816,down
ASB2,143.172818437653,-1.37099532820426,0.364858731005507,-3.75760592168361,0.000171546759937303,0.0304303637380888,down
BFSP2,7.23504474206845,-3.2715813930862,0.839637776696913,-3.89641996094604,9.76250498359233e-05,0.0236307641348634,down
BMX,47.7423383978563,-2.26524829261484,0.642962252759806,-3.52314351719973,0.000426460364080981,0.0458113577558386,down
BPIFB1,2091.23758651261,-3.7015137501249,1.06306607794988,-3.48192255110168,0.000497827655021902,0.0493077898573705,down
C11orf97,34.9587377259374,-5.032062588273,1.31121921532939,-3.8376974112669,0.000124193384232353,0.0259583427833871,down
C1orf141,24.6195746122182,-4.83486106550772,1.24184052655327,-3.89330269235688,9.88886367740668e-05,0.0236307641348634,down
C20orf85,340.305126699946,-4.80812205335219,1.19255201627335,-4.03179231408056,5.53530930328411e-05,0.0170166544544601,down
C22orf15,93.9991036395677,-3.83116126792578,0.783957848680004,-4.88694803474006,1.02411110525051e-06,0.00145332145951944,down
C2orf88,119.522930354867,-1.83220842677016,0.370964842594871,-4.93903523027681,7.85100288144119e-07,0.00140678274916124,down
C6,110.463670505118,-3.51348956441496,0.940915979571063,-3.73411615988993,0.000188375542826849,0.0312560931280816,down
C9orf24,282.202179119616,-3.64981609831326,0.997471989214704,-3.65906625727577,0.000253135892770435,0.0348229748814757,down
CACNG6,100.773585686164,-4.77699400511117,1.0923709264703,-4.37305121305885,1.22521967448691e-05,0.00688241626733139,down
CCDC17,555.338256624896,-3.12564263705428,0.765322621606223,-4.08408499737578,4.42508326590016e-05,0.0149141900123082,down
CCDC181,52.5773950302938,-2.53596878919385,0.68907528533314,-3.68024923135621,0.000233006103755114,0.0337033911202302,down
CCDC33,117.962440663708,-3.39364078231545,0.778838137121235,-4.35731202745044,1.31669494541882e-05,0.00711322385601412,down
CCDC60,68.379729515551,-4.85509276550531,1.07188090716994,-4.52950764681878,5.91212946793453e-06,0.00459654345054581,down
CCDC65,82.6833554940905,-2.20807531189614,0.632843656103917,-3.48913241145544,0.000484591041452198,0.0482141263862569,down
CCDC81,55.5877347512092,-2.49846676234846,0.57013701057652,-4.38222166952821,1.17475192968978e-05,0.00688241626733139,down
