,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000102924,8.02355820436884,-1.58132047207014,0.924685691973311,-1.71011673025409,0.0872442896460331,0.536091107959433
ENSG00000102931,1607.76346429873,0.00828994426528671,0.138685484859973,0.0597751399409741,0.952334725616033,0.989027636898785
ENSG00000102934,997.649801910729,-0.16306480005838,0.511353236035982,-0.318888761362813,0.749810866903196,0.955783451308148
ENSG00000102935,134.380080286248,-0.333099363020133,0.6214435263245,-0.536009064235064,0.591952285974312,0.913455587862725
ENSG00000102962,320.845167479381,-0.674083391221441,0.66246044750266,-1.01754511346692,0.308894182511885,0.783510239234991
ENSG00000102967,359.186952675756,-0.115691430882641,0.255469584506124,-0.452857944347059,0.650651035949775,0.928080404291054
ENSG00000102970,86.2250164419104,-0.151128301820448,0.754018863443524,-0.200430399221395,0.841143986677354,0.971334400613309
ENSG00000102974,1828.74047009783,-0.0397038301043191,0.119834670902236,-0.33132172688746,0.7404014815543,0.953413752672491
ENSG00000102977,778.408650212585,-0.207520150928376,0.249974043214382,-0.83016679755987,0.406444484684602,0.837108094112025
ENSG00000102978,2131.55466245221,-0.0762092923862888,0.210176890786655,-0.362595964290131,0.716906725428106,0.948044228245639
ENSG00000102981,150.585786746189,-0.0247306178277288,0.358020953805902,-0.0690758950414291,0.944929208158219,0.988116533894438
ENSG00000102984,222.325800049496,0.125177984457801,0.279454302478007,0.447937223896035,0.654198502866293,0.92959969606239
ENSG00000102996,2104.10054491516,0.159480406029404,0.3277964901003,0.486522616458173,0.626596674089237,0.922685345621031
ENSG00000103005,1571.87313290717,0.083854873393217,0.181877884884414,0.461050409985292,0.644762438872683,0.926237471739755
ENSG00000103018,2046.5887759839,-0.0969249478976564,0.17314387444382,-0.559794264792809,0.57561977603319,0.908905890083691
ENSG00000103021,431.836823265355,-1.03697005139409,0.501681568243461,-2.06698853821725,0.0387352339933769,0.392175666025281
ENSG00000103024,1653.77524200021,0.0372007228535529,0.214546469918713,0.173392379131884,0.862343014951721,0.976924021531734
ENSG00000103034,884.241927487553,-1.20132041151831,0.78021979850864,-1.5397204913469,0.123628499740685,0.596954734689845
ENSG00000103035,2243.82454071738,-0.164647734793331,0.22614160488856,-0.728073610667384,0.466568526974291,0.865860499195252
ENSG00000103037,947.269896298181,-0.172795293057131,0.281123218572883,-0.614660339812284,0.53877905672125,0.894470765739491
ENSG00000103042,894.577636302763,-0.140319930463631,0.209143415560894,-0.670926837870137,0.502267138384947,0.880649554706289
ENSG00000103043,1588.19428948242,-0.2188694985767,0.173719161912749,-1.25990418193836,0.20770392995967,0.704797516171984
ENSG00000103044,2063.61878701267,1.4950187871165,0.73930353303763,2.02219889437537,0.0431558084655085,0.409866172474641
ENSG00000103047,438.075601972622,-0.151543638614351,0.281460056396286,-0.538419698179067,0.590287330152506,0.912818258262215
ENSG00000103051,1979.52562052815,0.436646150997339,0.275863047465589,1.5828366829443,0.113458693345645,0.581015527285744
ENSG00000103056,411.125616260985,-1.5127077741633,0.531491904638583,-2.84615393190598,0.004425079838639,0.153359161554272
ENSG00000103061,1032.07103673189,-0.19041280987429,0.181931468743104,-1.04661832936204,0.295275644726685,0.774263166246882
ENSG00000103064,1099.22499948119,-0.147375685398775,0.320368428716906,-0.460019378279635,0.645502311209855,0.926237471739755
ENSG00000103066,962.032015361444,0.0562236618118678,0.34630933536271,0.162350985291752,0.871029466743094,0.978669201849495
ENSG00000103067,1967.13104568396,0.124174776214721,0.266186880503772,0.466494727237171,0.640861420895487,0.926237471739755
ENSG00000103089,957.127628658891,-0.144596371362633,0.6083680939692,-0.237679084087459,0.812130007330757,0.967093347411789
ENSG00000103091,1265.48278777414,-0.0579679673326674,0.204936922606073,-0.282857606113724,0.777285993363837,0.961925649921504
ENSG00000103111,1920.60707280028,-0.0427581318588468,0.180482471031883,-0.236910164263506,0.812726484495486,0.967093347411789
ENSG00000103121,663.612409684529,-0.432692971242589,0.25344089124942,-1.7072737122628,0.0877711897919701,0.53830468315352
ENSG00000103126,2103.92526174007,0.262644238044802,0.23042045416761,1.13984775784597,0.254349733083007,0.74236376284305
ENSG00000103145,930.49408233474,0.375393960694743,0.265387703530044,1.41451150788622,0.157211770919882,0.648016381386797
ENSG00000103148,1220.40305017313,-0.107686903317839,0.176254093049193,-0.610975333706337,0.541215910143721,0.895183834821971
