,log2FoldChange,logCPM,LR,PValue,padj
ENSG00000163216,7.26690060047658,3.05048323635417,26.3530811757309,2.84364906564176E-07,0.00013323003667
ENSG00000203786,8.34782887681579,0.028822788475362,26.2981128594869,2.92574419532491E-07,0.000134671492022
ENSG00000083444,2.10932191982295,7.07068769741119,26.2346414796799,3.02349858689139E-07,0.000136771607628
ENSG00000185920,3.39956302085303,4.97402363043666,26.0142545312156,3.38905807449851E-07,0.000150709689323
ENSG00000063660,3.05714591487912,7.33122887498141,25.54962831369,4.31149099591314E-07,0.000181225588335
ENSG00000145431,2.34387662470798,5.04731371052395,25.5145600794883,4.39057032196358E-07,0.000181225588335
ENSG00000169604,2.85055016082577,7.28167940311086,25.6100745090354,4.17852096592986E-07,0.000181225588335
ENSG00000169851,3.07700262567394,4.3549558801787,25.5013906482208,4.42064170957501E-07,0.000181225588335
ENSG00000231290,8.0183901026448,0.989560519068672,25.5259301485284,4.36477264707149E-07,0.000181225588335
ENSG00000256812,6.62820485369914,1.28046762763875,25.4706212606837,4.49170851448471E-07,0.000181306086607
ENSG00000261327,5.16661782691432,0.524832468825674,25.4151390341181,4.62276082141995E-07,0.000183768751018
ENSG00000136859,3.1499576625959,5.82329726682078,25.3531610299413,4.77369480130762E-07,0.000186936463436
ENSG00000164694,3.88671605363412,4.25589570442973,25.2602137512802,5.00935926748025E-07,0.000193280233972
ENSG00000154096,3.21346363728811,6.4578588471762,25.2070329512154,5.14940739390688E-07,0.000195804350426
ENSG00000155886,4.68020011866154,0.376031718617207,25.1188422540944,5.39035790072185E-07,0.000199192704565
ENSG00000183098,3.87487043698983,3.51524631116744,25.1343832766208,5.34709165317844E-07,0.000199192704565
ENSG00000286221,7.84189327210655,-1.70217368599281,25.040227639296,5.61465937106023E-07,0.000204599747109
ENSG00000117122,2.59455909004823,5.0837815297768,24.7195560181491,6.63079390730069E-07,0.000238317999652
ENSG00000125845,3.71938954837897,5.19846131607886,24.6117409362031,7.01231882655879E-07,0.000248624606828
ENSG00000143387,3.22725842587542,6.17821883351457,24.5565546303302,7.21604597906464E-07,0.0002504353134
ENSG00000163623,4.48633932426191,-0.335664377297129,24.5463690105863,7.25429119885293E-07,0.0002504353134
ENSG00000137745,7.64181043264713,3.94037277574218,24.4847436457377,7.4900576157481E-07,0.000255216417746
ENSG00000198797,9.83919240981398,-1.92378108724434,24.3442711672601,8.05659872819147E-07,0.000271001257476
ENSG00000108821,4.09520091488903,11.1778459919826,24.2322423786315,8.53907429666738E-07,0.000283594547243
ENSG00000168334,5.03252747148122,2.0681705849649,24.0634431245871,9.32132186444726E-07,0.000305704402197
ENSG00000132911,7.47719386160996,-0.649834832397853,23.9263879047096,1.00090373957748E-06,0.000314005861005
ENSG00000164692,3.75282774535024,10.4204879349104,23.9008623488374,1.01426317355483E-06,0.000314005861005
ENSG00000173110,4.93397297775376,6.38109630263608,23.8726204806708,1.02925273645807E-06,0.000314005861005
ENSG00000225206,7.13406483771817,-1.61185341846575,23.9063644232525,1.01136848928366E-06,0.000314005861005
ENSG00000242147,5.32271252843878,-0.203201390080276,23.8818225440172,1.02434443719258E-06,0.000314005861005
ENSG00000254254,5.53320920933171,-1.87393334464816,23.953624016365,9.86843573333323E-07,0.000314005861005
ENSG00000182667,3.40490486983487,4.19345868213004,23.7379759489481,1.10382828920584E-06,0.000332886699125
ENSG00000077264,5.79330556145461,1.13810842949428,23.7122491866805,1.1186825685059E-06,0.00033353266534
ENSG00000247324,5.70002833513114,-1.69598673553931,23.5720419380179,1.20323134703584E-06,0.000354709897215
ENSG00000171812,3.06410690148027,4.60657393144525,23.5209695973688,1.23559717328712E-06,0.000360204033728
ENSG00000179542,4.70582594717149,0.763984824770429,23.476752832471,1.26432285799301E-06,0.000364527899178
ENSG00000160678,5.28619977669394,2.26365649510727,23.3836676630497,1.32700440617028E-06,0.000378441463094
ENSG00000050628,3.84643907623694,1.19585313946852,23.0743988760829,1.55852112729474E-06,0.000434305868109
ENSG00000135318,3.8046096402747,5.92138754576689,23.0866058176475,1.54865770483384E-06,0.000434305868109
ENSG00000276851,6.24735021859591,-1.98558554952942,23.0571666692257,1.57255240577665E-06,0.000434305868109
ENSG00000176887,5.69194866323412,0.399364493720656,23.0198456896917,1.6033768157927E-06,0.000438206224125
ENSG00000053747,4.42115655627313,7.13260346951397,22.681903025291,1.9115976959235E-06,0.000517057615958
ENSG00000107731,2.31180251811136,5.43465722939096,22.6099593998977,1.98453193078126E-06,0.000531307798652
ENSG00000077782,3.03601589859336,6.4825057364848,22.2728289905508,2.365298806739E-06,0.000614439057351
ENSG00000122641,3.84832958650292,6.0853028605818,22.2956463589785,2.33735930975258E-06,0.000614439057351
ENSG00000253356,6.8237102552299,-2.60608610988479,22.2897800361446,2.34451075086989E-06,0.000614439057351
ENSG00000106819,3.67903994079197,4.86825455960087,22.2079493344788,2.44658731239298E-06,0.000623214672964
ENSG00000126368,2.82051365714614,4.81995852574612,22.2214121164614,2.42949231214872E-06,0.000623214672964
ENSG00000142173,3.33070202569733,9.26029975925483,22.1306120495586,2.54715413139183E-06,0.000642593105244
ENSG00000170044,5.81333189051449,-1.47482586019087,21.9189946621383,2.84404875240563E-06,0.00071066006778
ENSG00000253161,3.88679058196144,-0.695305759771177,21.6903300794962,3.20402323339136E-06,0.000793056203533
ENSG00000170801,3.07081442290499,6.01830092334568,21.5672065473207,3.41643727952943E-06,0.000829972823176
ENSG00000173546,2.84802891360401,5.10503098008994,21.5838003396056,3.38700556446213E-06,0.000829972823176
ENSG00000178947,3.06139620328144,3.25799662483985,21.5310303873543,3.48149407465624E-06,0.000838017981989
ENSG00000110148,6.74154388180017,-1.14153482572059,21.4352659551138,3.65977488884685E-06,0.000872922852352
ENSG00000206172,3.60601887026389,5.29387172974705,21.3399283947902,3.84636156047641E-06,0.000909162056416
ENSG00000131015,3.65530340570818,2.07496893882823,21.2724629363022,3.98413948621422E-06,0.00093332024732
ENSG00000152661,3.04059572047142,7.37988116498661,21.1642967077584,4.21544781840249E-06,0.000978767295676
ENSG00000130720,4.96693563873853,1.7694465844615,21.0430477401997,4.49079342862853E-06,0.001033552168306
ENSG00000135477,5.79638006556216,-1.39845394807889,20.9296809462265,4.76454731172093E-06,0.001087021111458
ENSG00000134443,5.92311950226419,1.07399485782765,20.8568080406799,4.94929937644416E-06,0.001119437652929
ENSG00000244734,3.31608187415456,6.24766909258068,20.8183427763606,5.0497009614008E-06,0.001132384650635
ENSG00000122824,4.10287892351051,-1.08058485086063,20.7902293257463,5.12437307416113E-06,0.001139391324973
ENSG00000136158,2.28615749522145,5.1997077813423,20.7083745885475,5.34815855729316E-06,0.001179156605611
ENSG00000241794,5.8420034812839,3.21819348070782,20.6007359610174,5.65743615180607E-06,0.001236951269291
ENSG00000167601,2.8562418482557,5.76254876780256,20.5721137648423,5.74265610404146E-06,0.001243192762077
ENSG00000186732,7.58401979966194,2.39726710049039,20.5594573198166,5.78074920812013E-06,0.001243192762077
ENSG00000087116,3.20175698215467,5.7009579771732,20.424049202325,6.20451818140741E-06,0.001323479215655
ENSG00000060718,5.21795561969511,5.63636744947219,20.2887248682276,6.65918568445057E-06,0.001400073334206
ENSG00000129009,2.77884844152854,5.86030857768799,20.2702836738763,6.72368182757143E-06,0.001400073334206
ENSG00000184588,3.22143630620016,5.08327661484395,20.2749188456901,6.70741204157111E-06,0.001400073334206
