,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
GJB1,35.45,1.83,31.62,20.35,0.96,0.41,3.44,10.03,43.85,0.51,5.91,2.04,24.65,1.6,23.37,7.07,2.16,37.36,46.31,0.12,0.11,3.6,2.56
GJB2,1.31,4.9,0.33,38.64,176.61,28.36,0.04,32.29,12.19,25.61,0.19,86.03,1.57,1.9,34.36,11.33,61.65,9.75,11.14,17.86,21.32,5.72,3.69
GJB3,3.74,9.31,0.28,37.14,49.74,26.54,0,18.48,19.42,21.65,0.43,8.57,1.57,1.02,39.07,15.6,9.14,29.28,1.81,6.82,11.03,0.5,20.22
GJB4,0.51,0.61,0,3.14,19.38,7.31,0,3.26,13.03,3.56,0.22,0.91,0.6,0.41,23.01,3.42,0.76,1.96,0.03,0.34,4.37,0,6.96
GJB5,6.22,2.82,0.03,3.89,24.22,42.69,0.03,3.82,9.86,3.8,0.73,3.99,2.09,0.98,11.73,7.43,0.53,0.69,0.17,12.39,12.75,0.09,4.32
GJB6,0.04,0.09,0.25,6.52,1.9,24.58,0,4.84,1.24,6.66,0.1,26.33,0.44,0.74,0.52,2.52,10.44,2.12,0.22,87.05,60.38,0.18,0.17
GJB7,4.41,0.31,0.19,0.16,0.38,3.09,0.08,5.08,0.06,0,0.37,1.83,0.52,0.72,2.51,0.95,0.16,0.03,0.22,3.5,2.67,0.12,1.39
GJC1,1.25,2.01,1.95,0.47,10.14,9.65,4.76,1.47,1.71,2.75,6.67,1.59,4.15,2.97,2.47,15.81,1.61,0.97,1.29,10.07,5.88,4.15,5.29
GJC2,2.95,2.68,2.44,4.66,1.18,2.85,1.25,5.01,1.7,1.22,9.5,2.32,5.58,3.36,3.52,1.87,2.27,1.64,2.01,0.55,0.36,2.51,4.12
GJC3,2.19,0.23,0.39,0.35,0.19,0.13,0.66,0.22,0.22,0.27,0.52,0.34,0.87,0.2,0.4,11.74,0.59,0.07,0.1,0.18,0.07,0.38,0.07
GJD2,0.07,0,0,0,0,0,19.78,0,0,0,0.01,0,0,0.02,0,0,0,0,0.01,0,0,0,0
GJD2.DT,0.08,0,0,0,0,0.06,8.68,0,0,0,0.05,0.05,0,0,0.05,0.17,0,0.04,0,0,0.02,0,0
GJD3,2.97,3.34,3.56,2.35,7.23,4.62,0.48,1.74,3.15,5.19,8.24,3.79,4.61,3.44,3.35,3.23,5.65,4.14,3.93,3.27,3.38,4.59,1.6
GJD4,0,0.03,0,0,0.06,0.09,0.06,0.13,0.03,0,0,0.03,0.06,0,0,0.15,0.02,0.02,0.02,0.06,0.02,0.07,0.04
GJE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,23.13,18.7,17.79,62.15,7.71,9.96,2.23,33.16,19.73,14.29,4.78,10.36,11.55,6.75,12.03,8.83,8.45,16.35,28.5,4.64,4.06,13.98,14.93
GK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK3P,0.11,0.08,0.19,0.32,0.08,0.16,0.05,0.44,0.2,0.17,0.05,0.04,0.16,0.11,0.19,0.15,0.07,0,0.39,0.06,0.02,0.1,0.25
GK5,11.15,14.15,9.53,10.34,8.91,10.36,9.73,11.47,7.44,4.4,4.97,18.19,10.13,5.68,10.33,39.16,6.78,6.61,5.09,10.35,14.57,5.05,6.94
GKAP1,8.11,4.42,3.46,4.21,2.85,2.16,20.24,3.04,1.88,1.56,5.51,3.9,3.89,2.97,1.8,12.88,1.86,2.2,3.48,3.91,1.94,3.13,4.05
GKN1,0,0,0,0,0,0.07,0,0,30.17,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0
GKN2,0.8,11.2,7.87,23.44,7.11,4.38,0,0.38,22.9,0.17,30.58,13.44,22.15,0,5.45,0.38,1.33,1.42,1.96,0.46,0.38,9.09,0.23
GLA,21.38,17.43,24.01,27.6,37,68.98,14.32,26.47,44.65,27.6,18.29,36.1,33.6,19.2,23.3,31.21,16.83,31.34,18.39,55.87,37.03,34.49,64.87
GLB1,45.2,35.91,56.02,61.08,41.08,33.24,99.35,20.36,63.06,38.65,30.87,45.83,29.75,19.49,41.16,30.54,28.42,45.65,47.55,25.19,21.13,45.22,19.01
GLB1L,15.05,5.08,3.23,4.86,4.92,5.6,12.62,2.48,5.47,3.75,8.65,9.81,17.27,10,8.76,5.95,4.04,9.41,6.84,2.22,2.81,7.12,6.87
GLB1L2,18.14,16.89,17.22,7.58,4.44,0.6,17.92,1.62,8.86,21.41,3.57,12.88,10.52,9.75,7.84,15.46,1.12,7.48,16.56,2.16,3.1,3.42,12.96
GLB1L3,1.84,10.08,9.67,0.43,0.34,0,1.73,0.03,0.11,10.25,0.62,0.76,0.62,0.8,0.12,0.11,0.08,0.27,20.26,0,0.18,0.21,2.24
GLCCI1,6.56,14.87,6.86,9.51,4.31,6.18,35.65,3.23,5.23,9.83,11.49,8.77,11.54,10.04,10.19,24.83,10.9,7.63,8.16,4.47,7.07,9.96,13.06
GLCE,6.42,12.98,19.33,17.13,9.92,8.58,15.04,10.23,13.58,5.34,7.36,9.11,8.9,5.3,13.42,12.38,4.96,11.87,8.77,15.85,3.13,6.59,7.78
GLDC,0.41,0.36,0.22,6.54,1.29,1.38,0.62,3.71,0.39,1.78,1.36,0.45,1.74,1.14,0.63,0.47,0.99,3.01,0.26,1.03,0.82,0.83,2.43
GLDN,1.9,1.62,6.97,2.54,0.66,2.1,0.2,0.35,2,0.39,0.97,2.16,3.21,0.76,4.73,4.11,1.28,0.36,1.16,0.94,0.16,2.86,0.82
GLE1,16.15,15.9,15.11,19.28,14.86,18.84,23.64,8,13.01,11.17,10.33,11.34,12.68,8.58,11.03,33.18,6.76,12.06,18.31,23.89,15.29,11.29,6.09
GLG1,62.92,37.24,41.01,49.55,62.95,105.33,63.86,32.43,40.83,35.06,41.56,36.99,39.69,31.63,60.52,48.36,33.44,53.91,34.64,55.19,50.25,35.39,39.89
GLI1,0.76,1.88,3.29,0.45,4.62,37.64,0.01,0.17,3.01,1.31,1.4,1.58,1.47,0.81,4.12,1.42,0.99,0.46,1.12,1.77,9.14,3.97,0.79
GLI2,0.43,2.22,3.52,3.98,2.92,11.55,0.06,2.39,3.13,0.46,1.15,1.19,1.05,1.17,3.28,0.88,1.63,0.31,1,13.94,13.92,2.95,0.87
GLI3,3.61,1.86,2.17,1.1,9.8,4.53,0.52,0.22,0.91,6.27,3.5,2.07,1.93,1.87,1.69,1.46,1.29,1.01,0.6,0.4,0.3,2.76,1.19
GLI4,21.33,15.05,16.68,18.72,19.51,10.36,29.44,16.78,14.09,31.27,18.06,17.5,16.91,15.26,18.24,21.93,10.86,28.83,12.83,25.03,36.6,12.91,7.46
GLIDR,8.93,7.47,8.56,7.3,8.51,9.59,30.75,3.63,4.69,4.45,10.27,8.43,8.41,6.64,7.27,25.66,5.82,3.21,10.96,5.37,4.11,9.96,3.86
GLIPR1,3.99,22.12,24.5,11.49,66.91,23.41,3.27,3.26,33.09,12.64,13.84,21.71,16.3,14.91,25.78,6.1,20.49,7.84,13.08,8.01,7.47,32.6,16.97
GLIPR1L1,0.1,0,0.19,0.21,0.05,0.04,0.13,0.17,0.09,0.23,0.27,0.38,0.22,0.05,0,0.09,0.07,0.07,0.15,0.18,0.03,0.04,0.2
GLIPR1L2,0.27,1.2,0.29,0.19,0.77,0.91,2.18,0.75,0.74,0.09,0.57,0.72,0.79,0.75,0.61,0.8,0.17,0.26,1.51,0.55,0.09,0.33,0.44
GLIPR2,12.51,35.02,75.22,33.83,26.57,12.27,3.1,5.14,62.26,28.09,37.07,29.53,34.91,25.01,43.14,45.78,23.09,15.75,24.07,10.36,7.88,41.55,11.65
GLIS1,0.06,0.05,0.03,0.04,2.5,0.6,0,0.09,0,0.07,0.26,0.09,0.09,0.33,0.51,0.14,0.2,0.05,0.02,0,0.04,0.24,0.07
GLIS2,6.64,25.87,18.67,9.71,47.07,19.3,4.09,4.13,7.67,10.69,22.54,14.33,13.46,10.13,12.37,10.9,9.7,8.09,9.45,4.62,5.47,13.07,36.41
GLIS2.AS1,0,0.26,0.45,0.98,0.26,0.48,20.09,0.49,0,0,0.51,0,0.25,0.88,0,0.25,0.21,0.6,0,0,0.61,0,0.38
GLIS3,8.88,3.53,5.09,2.87,8.07,2.34,1.15,4.09,3.93,4.48,2.93,4.46,6.5,3.76,5.44,4.68,4.71,1.55,19.49,5.59,2.14,4.38,6.39
GLIS3.AS1,0.17,0.31,0,0.24,0.25,0.22,0.42,0.07,0,1.13,0.07,0.5,0.45,0.11,0.14,0,0.51,0.24,0.46,0.15,0.12,0.25,0.39
GLMN,16.72,4.5,5.93,4.24,3.73,7.54,10.67,7.49,3.23,5.98,2.49,7.75,4.64,3.92,4.05,13.78,3.49,2.17,5.45,3.96,2.78,4.5,2.83
GLMP,42.17,63.19,59.75,73.64,75.63,40.64,41.23,78.4,85.22,53.21,33.67,61.01,61.82,34.41,43.17,51.94,36.6,45.67,55.11,43.37,19,63.41,26.19
GLO1,106.43,65.52,75.63,64.5,55.56,122.89,43.11,66.71,43.38,69.76,71.61,70.81,61.2,39.59,38.01,166.39,42.73,28.18,71.65,90.49,49.71,40.34,39.23
GLOD4,32.14,48.11,44.95,51.43,40.39,34.62,63.51,69.23,63.39,25.11,37.57,42.57,39.06,25.07,34.79,65.84,26.78,39.53,42.25,47.71,31.3,33.08,29.46
GLOD5,1.81,2.07,0.8,1.06,0.11,0.38,2.72,0.44,1.7,0.98,0.69,2.29,1.26,0.41,1.22,1.67,0.55,2.94,2.44,0.1,0.08,1.63,1.73
GLP1R,0.15,0.11,0.07,0.01,0.35,0.09,0.1,0.03,0.14,0.01,0.17,0.06,0.06,0.92,0.12,0.13,0.01,0.02,2.06,0.03,0.02,0.01,0.05
GLP2R,0.03,0.04,0.11,0.04,0.13,0.01,0.02,0.13,0.09,0.01,0.12,0.05,0.09,0.11,0,0.21,0.02,0.04,0.03,0,0,0,0.36
GLRA1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0
GLRA2,0,0,0,0.01,0,0,0.07,0,0,0,0,0,0.01,0,0.01,0.08,0,0,0,0.03,0.01,0.01,0
GLRA3,0.01,0.03,0.02,0.01,0.06,0.09,0,0.1,0.01,0.58,0.09,0.33,0.04,0.12,0,0,0.01,0.01,0.01,0,0,0.04,0.28
GLRB,7.82,6.08,1.44,2.69,4.76,2.4,34.93,3.59,2.18,2.9,3.63,4.35,2.69,2.44,1.55,6.76,1.11,0.48,5.86,2.33,0.27,1.34,1.17
GLRX,31.59,70.25,85.99,159.81,51.35,13.03,9.25,76.01,92.05,57.74,49.89,52.02,52.31,43.31,95.07,33.76,43.14,37.4,40.65,9.18,20.26,45.87,45.94
GLRX2,14.95,8.74,15.64,15.07,15.85,12.97,17.37,10.15,21.1,13.66,8.07,15.7,12.63,7.17,13.25,15.82,10.94,13.62,8.07,20.46,8.73,10.06,8.39
GLRX3,77.35,46.08,56.47,74.75,65.73,158.04,58.98,59.91,44.93,53.66,27.51,49.48,46.11,22.9,45.83,50.03,52.77,69.46,61.49,71.82,106.38,38.51,48.56
GLRX3P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0
GLRX5,115.49,25.52,39.54,50.85,47.74,70.68,87.56,44.1,42.76,58.17,32.21,40.49,31.43,27.82,41.43,94.64,28.91,60.66,36.17,53.44,44.13,38.6,22.19
GLS,18.1,98.6,147.14,43.88,63.59,69.5,20.1,12,27.5,63.95,34.32,59.97,54.7,36.75,36.89,24.5,105.87,40.38,136.44,48.59,13.85,47.33,145.94
GLS2,2.66,3.33,2.44,2.23,0.88,2.67,17.03,0.91,0.52,0.77,1.14,2.3,2.77,1.06,0.87,3.84,0.67,0.61,2.4,7.59,5.4,1.17,3.7
GLT1D1,0.16,0.77,1.07,0.62,0.46,0.48,5.38,0.57,1.93,1.75,1.45,0.38,0.51,0.49,0.94,10.53,0.65,0.31,0.57,0.25,0.06,1.75,0.27
GLT6D1,0,0,0,0,0,0.06,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
GLT8D1,49.71,47.62,33.85,40.56,77.54,36.74,101.55,29.87,35.48,49.01,49.06,44.97,47.42,31.79,47,44.99,28.06,28.31,33.32,20.57,33.66,40.81,22.18
GLT8D2,1.85,8.89,8.81,2.36,65.43,11.07,2.47,1.84,4.68,14.46,13.55,4.71,8.99,8.39,10.61,2.95,7.51,4.12,1.59,2.62,1.25,9.77,5.33
GLTP,17.49,17.72,41.62,34.69,31.88,101.34,22.64,18.14,26.07,22.42,23.04,34.6,25.6,17.96,16.67,41.47,16.9,37.74,21.08,50.81,78.68,25.99,20.08
GLTPD2,2.52,1.21,9.49,23.29,1.03,1.02,7.96,2.92,2.49,1.33,0.67,1.11,0.75,1.04,1,1.14,0.7,46.01,25.93,1.17,0.37,0.79,0.94
GLUD1,30.6,65.66,86.71,69.8,95.27,118.8,52.48,29.95,61.59,63.96,64.98,49.26,60.83,32.93,68.29,37.18,38.15,58.98,68.31,36.76,61.99,42.4,61.96
GLUD1P2,1.41,0.14,0.36,0.95,0.14,0.28,0.51,0.27,0.27,0.2,0.19,0.46,0.4,0.32,0.37,0.58,0.22,0.33,0.11,0.14,0.11,0,0.2
GLUD1P3,4.8,7.9,8.87,4.74,8.11,4.34,22.9,4.51,3.89,3.64,5.63,10.32,3.36,5.16,7.34,9.25,4,6.87,7.16,3.11,4.91,5.96,7.75
GLUD2,1.5,2.95,5.03,3.82,4.47,5.06,2.39,1.47,3.34,2.16,2.79,2.33,3.05,1.73,3.47,1.47,1.95,3.66,3.52,1.72,2.2,2.21,2.04
GLUL,644.23,548.4,611.55,824.11,655.65,393.09,291.03,637,1045.36,285.29,1115.74,1411.71,856.92,439.36,632.4,568.44,363.13,581.65,437.96,745.46,810.36,786.48,393.03
GLULP1,0,0,0,0.04,0,0,0,0,0,0,0,0,0.04,0.05,0,0,0,0,0,0,0,0,0.07
GLULP4,0.1,0,0.04,0.04,0,0,0.13,0,0.04,0,0.04,0,0.04,0,0,0,0.04,0.07,0,0,0.03,0.08,0
GLULP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.04,0,0,0,0,0,0
GLYATL1,0.64,0.05,0.15,0,0.36,0,1.53,0.17,0.6,0,0.11,0.14,0.88,0.15,0.48,1.25,0.24,0,0.09,0.03,0,0.1,0
GLYATL1B,0.5,0.07,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.17,0,0.05,0,0,0,0.15,0.08
GLYATL1P1,0.24,0.06,0.08,0,0,0,0.03,0,0.06,0,0.06,0.08,0,0,0.05,0.37,0.02,0,0,0,0.02,0,0.04
GLYATL2,1.26,0.11,0,0.17,2.54,5.93,0.5,0,0,0.02,0,0.1,0.36,0.09,0.06,4.34,0,0.23,0.1,2.35,0.08,0.18,0.33
GLYATL3,0,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,9.04,0.02,0,0,0,0.02,0,0
GLYCAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCTK,4.94,6.11,5.97,12.64,8.36,5.39,10.11,2.25,15.87,12.71,8.4,6.77,6.24,6.57,13.96,3.27,7.73,16.73,22.49,5.77,3.55,8.83,3.08
GLYR1,69.56,62.91,54.8,55.66,49.77,59.52,68.18,35.82,41.02,39.02,46.82,54.95,47.75,31.39,48.28,83.8,26.62,54.35,44.9,23.67,31.1,42.65,35.69
GM2A,19.46,30.13,51.1,60.05,43.17,27.53,18.13,13.44,183.7,43.02,21.93,53.03,28.87,22.05,45.19,27.38,40.82,35.64,36.61,24.9,33.54,87.95,16.63
GM2AP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMCL1,10.91,11.22,8.73,12.85,13.51,35.43,18.55,13.54,9.37,7.68,9.34,9.81,8.4,6.36,8.44,34.85,6.48,7.94,17.42,11.41,30.05,5.74,5.79
GMCL1P2,0,0,0,0.05,0.2,0,0,0.06,0.06,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
GMCL2,0.05,0,0.04,0.01,0.03,0.09,0.04,0.03,0,0,0,0.03,0.02,0.03,0,0,0.01,0.03,0,0.03,0.04,0,0.07
GMDS,28.76,11.12,17.92,30.6,16.01,19.65,20.33,40,62.36,68.83,9.19,16.7,16.63,14.03,45.16,47.78,14.38,32.43,19.94,10.77,7.05,16.26,14.92
GMEB1,7.09,6.05,3.85,5.85,6.34,9.89,4.92,6.66,4.4,4.99,6.17,4.68,4.47,3.44,5.05,9.07,3.74,2.88,4.67,3.86,3.11,4.42,5.8
GMEB2,11.2,7.93,15.92,8.02,6.1,17.74,9.88,9.34,5.28,5.63,6.35,10.34,7.66,6.42,6.78,22.54,4.88,9.22,5.16,9.31,9.91,6.97,6.09
GMFB,44.95,16.7,23.13,32.07,27.97,19.24,33.09,12.09,25.33,14.37,18.73,23.97,18.96,11.02,22.54,30.06,18.14,17.66,15.95,11.68,16.53,18.5,10.82
GMFG,21.2,95.34,144.11,61.32,45.98,30.09,10.57,17.35,133.41,86.7,162.94,72.84,95.52,107.1,106.69,31.6,91.62,65.04,66.06,28.07,32.5,149.36,61.48
GMIP,12.05,27.7,28.04,14.37,16.31,15.4,5.15,4.93,28.9,19.49,14.46,22.46,13.39,19.16,25.08,19.73,17.92,12.55,18.8,8.59,8.58,25.07,11.96
GML,0.09,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.06,0,0,0,0
GMNC,0.03,0.01,0.01,0.09,0.01,0.01,0,0.01,0.03,0,0.04,0.3,0.2,0.17,0.23,0,0,0,0.17,0.01,0,0,0
GMNN,60.84,8.44,11.07,20.7,17.46,46.01,6.37,31.16,14.59,32.82,7.43,17.19,12.51,7.9,8.91,67.41,14.44,10.22,10.51,51.23,29.03,7.73,10.3
GMPPA,35.76,27.22,35.08,42.52,42.73,33.41,27.3,60.27,37.43,52.24,18.94,42.58,30.3,27.94,27.53,23.88,41.77,42.84,27.36,16.92,22.92,36.12,23.45
GMPPB,21.78,32.41,16.44,51.2,27.07,20.77,35.27,26.47,28.83,27.44,16.93,28.33,25.27,22.87,25.29,22.63,26.62,22.48,19.74,15.36,17.29,29.05,20.32
GMPR,2.12,3.84,15.74,6.05,6.11,24.25,44.39,2.01,8.9,10.27,12.21,9.51,14.1,7.97,6.7,6.76,3.55,3.48,17.96,7.53,4.11,6.38,6.16
GMPR2,133.13,58.76,62.24,53.51,46.23,31.25,67.45,89.56,61.69,59.7,56.37,62.09,63.65,41.83,34.97,53.6,37.61,88.5,58.35,97.36,41.94,59.62,41.14
GMPS,28.14,16.41,15.47,23.08,25.05,39.88,14.49,21.08,14.93,30.29,15.04,22.74,13.72,11.38,13.24,87.92,16.65,29.94,17.72,68.06,75.99,13.35,16.72
GMPSP1,0.7,0.66,0.53,1,0.29,0.64,0.67,0.3,0.39,0.79,0.41,0.56,0.31,0.24,0.52,2.31,0.69,0.24,0.48,2.27,1.71,0.23,0
GNA11,38.43,32.6,35.45,25.02,26.63,49.62,59.84,24.95,29.25,33.55,36.54,27.25,32.78,15.92,33.92,76.48,15.02,25.82,22.63,29.46,23.01,18.84,27.19
GNA12,69.17,35.13,47.68,24.71,31.37,49.25,79.61,14.05,21.46,27.97,18.32,24.62,21.4,18.52,21.17,20.11,20.23,23.82,13.26,20.32,24.71,26.47,26.03
GNA13,11.8,18.78,15.87,10.16,27.22,23.66,16.78,12.48,20.3,12.96,24.33,19.61,16.03,15.14,18.44,19.48,16.81,9.28,11.39,30.5,15.47,26.18,35.41
GNA14,8.16,6.13,5.88,5.69,1.47,0.75,1.21,0.61,3.99,2.85,12.16,9.04,9.76,6.3,4.16,9.6,2.16,2.56,5.81,0.65,0.43,5.98,4.45
GNA14.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0
GNA15,5.67,24.6,35.23,22.18,47.45,22.71,0.74,22.01,24.74,16.32,9.52,27.57,14.7,11.01,27.83,40.96,22.18,35.28,24.31,26.02,10.93,21.33,36.43
GNA15.DT,0.05,0.22,0.14,0.09,0.29,0.13,0.02,0.17,0.27,0.15,1.34,0.21,0.19,0.21,0.48,0.13,0.03,0.16,0.21,0.18,0.12,0.22,0.31
GNAI1,11.6,16.99,18.7,24.39,24,21.68,34.26,17.23,9.83,3.44,29.36,11.52,21.44,11.63,18.54,18.35,4.65,7.4,15.98,22.9,1.26,7.32,13.22
GNAI2,136.23,297.59,250.5,203.28,323.14,166.03,201.81,106.97,336.85,194.85,470.84,227.26,251.18,196.66,291.87,196.93,222.74,175.17,185.1,104.86,105.84,282.96,183.34
GNAI2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0
GNAI3,17.08,7.13,9.85,9.74,15.3,15.48,10.13,5.01,10.54,10.71,10.22,8.66,8.17,7.64,9.82,19.24,8.13,7.54,7.75,6.87,5.72,9.29,7.76
GNAL,0.86,3.02,1.88,1.15,2.23,5.7,23.53,3.58,1.32,1.57,2.29,1.87,3.64,2.28,1.92,2.1,0.67,3.24,1.64,13.16,1.69,1.6,1.9
GNAO1,0.61,3.06,1.91,1.11,2.25,0.87,61.13,1.99,2.76,0.45,1.12,2.79,2.07,2,1.88,0.96,1.04,1.53,1.6,0.42,1.81,0.97,2.21
GNAO1.AS1,0,0.02,0,0,0,0,0.26,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.04
GNAO1.DT,1.46,0.17,0.09,0.05,0,0.18,1.62,0.23,0.11,0.06,0.21,0.41,0.08,0.23,0.18,0,0.04,0,0.21,0.16,0.09,0.07,0
GNAQ,10.46,24.43,31.54,19.42,17.75,15.41,32.83,9.49,21.05,7.31,25.8,18.59,19.49,10.14,22.95,20.43,7.99,9.53,16.48,10.23,8.08,15.1,10.25
GNAS,681.71,731.11,868.03,640.64,689.66,1123.32,2011.16,428.76,611.71,430.1,731.31,922.5,598.25,649.49,570.48,2100.28,570.3,798.93,651.48,943.49,735.06,583.28,701.92
GNAS.AS1,0,0.09,0,0.3,0.12,0,0.11,0.31,0.11,0.82,0.12,0,0.11,0.1,0.17,0.18,0,0.38,0.11,0,0.13,0.03,0.16
GNAT1,0.03,0,0.02,0.01,0,0.26,0,0,0,0,0,0,0.02,0.01,0,0.15,0,0.01,0,0,0,0,0.21
GNAT2,0.14,0.15,0,0.34,0.31,0.15,0.28,0.03,0.06,0.21,0.24,0.13,0.14,0.16,0,0.16,0.24,0.06,0.23,0.13,0.05,0.17,0.09
GNAT3,0,0,0,0.03,0,0,0.76,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
GNAZ,2.86,1.02,1.41,0.38,0.55,6.04,11.99,0.07,5.33,0.09,3.51,1,1.2,1.17,4.67,5.93,0.39,0.27,0.93,1.75,1.73,0.36,0.68
GNB1,163.73,193.24,166.39,196.04,224.52,279.63,302.39,165.77,170.8,98.14,195.95,150.93,144.01,106.76,211.55,231.2,99.32,101.85,112.17,101.06,83.55,128.73,173.13
GNB1L,5.97,4.92,4.63,3.89,5.13,33.8,1.55,6.52,4.01,4.44,5.5,6.24,3.67,3.37,3.71,5.35,4.56,5.2,6.09,11.43,14.96,5.5,8.03
GNB2,215.81,208.48,259.09,249.62,233.22,293.05,342.3,153.19,223.48,313.39,234.86,189.44,208.62,141.58,228.73,319.49,177.25,150.47,212.82,305.3,148.24,192.12,180.17
GNB3,0.55,6.58,1.73,1.36,4.06,5.61,7.33,0.87,0.91,2.58,2.5,2.21,2.64,3.65,2.12,1.92,3.24,1,2,5.96,6.66,4.07,1.89
GNB4,4.8,7.63,14.03,6.35,13.75,20.83,2.55,3.28,15.35,6.6,10.01,11.53,9.64,5.85,10.77,40.23,8.25,4.5,6.57,13.1,2.92,17.77,4.94
GNB5,22.21,26.1,12.74,20.88,31.95,26.45,92.26,15.58,14.72,8.47,13.19,18.39,14.09,14.12,21.72,13.86,11.24,9.23,14.96,14.63,9.8,14.42,18
GNE,5.44,4.8,7.53,12.58,17.51,4.18,12.54,6.61,8.17,5.99,6.64,9.22,10.03,4.56,6.34,6.74,3.21,5.41,4.85,5.65,4.77,4.46,6.32
GNG10,39.64,64.25,106.5,81.6,79.48,65.16,140.64,39.38,88.24,75.63,42.73,82.97,48.27,34.6,76,40.4,56.66,48.33,75.02,84.25,57.12,85.12,34.91
GNG11,3.96,32.43,11.58,6.68,6.68,5.55,3.61,3.49,10.22,6.21,55.63,7.18,26.5,13,13.68,4.15,7.77,10.03,5.9,2.18,1.95,12,10.92
GNG12,37.24,44.94,35.3,21.15,36.39,34.48,15.05,14.13,28.61,11.6,31.46,19.75,23.53,17.14,45.56,20.1,16.78,23.41,27.55,15.85,6.36,17.41,17.93
GNG12.AS1,1.19,0.75,0.28,0.84,0.45,0.41,1.65,0.66,0.02,0.26,1.18,0.73,0.82,0.84,1.18,1.09,0.64,0.09,0.91,0.26,0.17,0.41,0.47
GNG13,0.06,0,0.05,0,0.05,0.1,0.4,0.31,0,0.08,0,0,0.05,0,0.05,0.15,0.04,0,0.04,0.05,0,0.04,0.15
GNG14,0.31,0.17,0,0.13,0,0.16,0.51,0.16,0.33,0,0.17,0,0.33,0.33,0.15,1.29,0,0.13,0.2,0.66,0,0,0
GNG2,2.67,12.11,10.68,3.07,10.11,4.73,9.83,3.07,9.7,8.53,11.74,6.65,8.54,11.52,10.34,4.63,9.8,4.88,6.79,2.3,2.87,15.95,17.26
GNG3,0.63,0.19,1.08,0.21,0,0,0.88,0.14,0.13,0.1,0.42,0.41,0.6,0.25,0.35,0.9,0.2,0.44,0.38,0.31,0.14,0.1,0.27
GNG4,51.05,0.48,0.1,61.01,0.43,1.47,76.98,11.97,0.16,0.63,0.06,1.04,0.09,0.53,0.21,50.22,1.75,0.5,0.11,7.16,0.41,0.57,0.65
GNG5,190.17,166.05,207.79,196.25,158.45,121.86,54.72,54.24,196.09,123.55,138.15,222.1,150.57,86.37,147.22,226.35,120.42,94.17,177.84,83.41,49.01,138.06,73.43
GNG7,3,6.84,3.46,1.94,0.86,0.85,14.63,0.86,2.8,2.28,5.92,3.3,2.81,8.59,3.01,1.27,2.65,1.46,1.48,0.65,0.8,7.39,7.12
GNG8,0.19,0.66,1.83,0.81,1.29,0.46,0.16,0.4,0.96,0.31,0.32,0.61,0.2,1.23,1.93,0.96,1.07,0.52,0.13,0,0,1.09,0.97
GNGT1,1.64,0.12,0.46,0,0.8,2.02,0,2.11,0,0,0.09,1.07,0.07,0.33,0.73,0.77,0.39,0,0,0.47,0.33,0,1.5
GNGT2,0.95,2.8,10.41,4.27,2.76,1.18,0.15,1.06,5.09,3.84,4.12,5.18,3.63,3.42,3.8,1.66,4.28,1.85,2.55,2.08,1.51,5.78,2.81
GNL1,78.76,46.49,35.55,37.53,61.48,85.01,84.72,60.81,37.58,48.66,86.95,64.11,52.96,39.99,32.11,83.32,33.11,33.92,37.65,46.79,27.99,40.1,55.78
GNL2,74.73,41.41,53.25,41.06,44.6,71.46,35.01,82.21,38.19,39.8,29.3,39.27,38.3,28.02,38.82,65.76,24.79,50.32,47.73,37.21,25.11,34.26,57.8
