,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
STAT5B,17.05,28.31,26.85,20.95,20.85,17.67,48.66,21.75,28.7,18.79,35.29,24.96,23.91,22.81,27.09,38.14,17.48,14.87,12.1,22.56,9.8,28.29,30.59
STAT6,121.4,294.25,176.89,152.66,145.89,129.01,15,102.3,124.68,57.29,122.66,159.71,120.74,79.03,148.36,127.64,89.49,159.93,134.84,88.31,46.64,120.93,128.72
STATH,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.09,0,0,0,0,0
STAU1,66.31,56.27,42.39,56.98,57.68,96.41,43.38,36.19,46.31,40.07,46.23,58.48,46.52,35.17,54.9,147.31,37.92,62.23,49.13,46.48,33.4,39.29,57.42
STAU2,24.09,31.15,33.69,27.22,20.12,25.01,30.56,20.58,17.29,12.16,22.13,25.93,20.81,18.35,23.05,66.07,14.51,28.24,28.84,17.41,25.23,14.53,16.21
STAU2.AS1,0.15,0.13,0.22,0.09,0.05,0.08,0,0.31,0.07,0.02,0.16,0.34,0.11,0.1,0.16,0.28,0,0.97,0.02,0.22,0.26,0.09,0.03
STBD1,4.72,12.46,18.77,10.66,12.06,5.89,8.89,6.43,10.51,8.61,14.56,12.07,14.52,18.83,11.69,9.81,15.58,6.65,42.94,9.69,1.66,15.9,10.32
STC1,5.72,2.6,4.81,7.07,25.92,32.33,3.87,46.22,3.84,10.91,18.48,5.49,9.67,11.97,5.28,5.7,6.62,9.84,2.54,8.8,3.86,6.78,30.17
STC2,0.72,2.53,1.37,6.29,8.57,13.08,5.93,79.4,8.66,32.16,25.76,14.57,6.97,5.34,5.04,11.54,6.68,110.4,3.65,8.54,31.02,8.4,10.93
STEAP1,8.82,17.71,6.34,48.41,34.7,45.06,9.69,19.91,15.44,65.1,1.8,11.09,25.71,10.38,27,1.43,41.3,6.12,6.02,44.43,52.91,17.47,20.22
STEAP1B,0.72,0.74,0.63,0.41,0.84,0.53,11.6,2.96,0.63,0.83,0.86,1.31,1.37,1.27,1.05,0.5,1.43,0.6,0.43,0.09,9.2,1.36,0.66
STEAP2,2.99,9.03,4.79,12.4,12.42,10.25,13.43,4.83,4.8,18.45,2.27,6.08,8.94,4.19,9.88,0.65,9.81,2.58,5.02,10.67,13.73,6.13,6.27
STEAP2.AS1,0.12,0,0.08,0.34,0.05,0.09,0.59,0.1,0.3,0.38,0.46,0.09,0.73,0.05,0.08,0.05,0.12,0.15,0.24,0.2,0.52,0.26,0.41
STEAP3,35.78,19.17,26.47,23.67,33.88,10.9,40.56,14.32,34.26,27.11,5.38,46.08,21.15,19.42,14.48,44.12,19.85,11.39,50.05,20.06,3.76,31.97,10.48
STEAP3.AS1,0.29,0.16,0.14,0.1,0.55,0.11,0.19,0.23,0.16,0.09,0.04,0.47,0.1,0.15,0.12,0.22,0.2,0.14,0.21,0.15,0,0.24,0.09
STEAP4,40.67,81.87,143.92,28.52,5.89,4.61,0.07,22.88,11.15,92.74,10.46,36.62,18.86,9.12,10.43,1.56,6.56,60.58,105.18,2.3,0.98,36.92,12.78
STEEP1,20.11,12.47,12.77,12.53,15.61,49.24,20.47,13.64,8.17,11.07,12.92,13.4,13.43,8.3,10.45,25.56,7.59,12.54,9.1,12.22,14.53,8.38,8.85
STH,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0,0
STIL,13.51,1.52,1.5,3.27,2.16,7.7,1.45,2.43,2.17,4.81,0.52,1.57,3.44,0.93,3.9,22.79,1.79,3.65,1.48,4.99,2.31,0.92,0.64
